"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"626","season",0.776866504362896,-1294.57811741062,-0.000188773148689794,-6.19415367182114,-0.000188727355334709,-1294.57811741062,-0.000188773148689794,-6.19415367182114,-0.000188727355334709,FALSE,0.74641148325,0.781970822473281,0.715432225370142,0.451331811786546,0.0810308427024354,0.126784890662085,0.203793514853589,0.126784890662085,0.00515954977637349,0,1742.92557871879,0.002329858601,717363.847276706,1e-04,"4_237_3",4,237,3,1655,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"627","ct.1.",12.303263720554,1325190.98435646,0.193237064158524,6340.62671940891,0.193190187928742,1325190.98435646,0.193237064158524,6340.62671940891,0.193190187928742,TRUE,0.74641148325,0.781970822473281,0.715432225370142,0.451331811786546,0.0810308427024354,0.126784890662085,0.203793514853589,0.126784890662085,0.00515954977637349,0,1742.92557871879,0.002329858601,717363.847276706,1e-04,"4_237_3",4,237,3,1655,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"628","x.1.",6453.66917574218,536009.382535309,0.0781599638582246,2564.63819394885,0.0781410034975843,536009.382535309,0.0781599638582246,2564.63819394885,0.0781410034975843,TRUE,0.74641148325,0.781970822473281,0.715432225370142,0.451331811786546,0.0810308427024354,0.126784890662085,0.203793514853589,0.126784890662085,0.00515954977637349,0,1742.92557871879,0.002329858601,717363.847276706,1e-04,"4_237_3",4,237,3,1655,3,179077.69020739,856.831053623878,61894.3036649996,61805.1446776088,2311.58001868601,0.389763450996346,0.385551291102515,2.69782474492425,2.99316671950903,0.334094320066485,2,FALSE,2.18370520521147,0.158940598541966,0.356569302858067,4.02403788360825,0.998236027424954
"629","x.2.",7692.46612359369,346113.856491091,0.0504697257093114,1664.00892543794,0.0507000666095714,346113.856491091,0.0504697257093114,1664.00892543794,0.0507000666095714,TRUE,0.74641148325,0.781970822473281,0.715432225370142,0.451331811786546,0.0810308427024354,0.126784890662085,0.203793514853589,0.126784890662085,0.00515954977637349,0,1742.92557871879,0.002329858601,717363.847276706,1e-04,"4_237_3",4,237,3,1655,3,113445.538835127,542.801621220704,43442.0462764379,43442.0462764379,604.267287703003,0.246914758981486,0.248959530535494,1.11323780931986,3.05092522848436,0.327769422424286,2,FALSE,3.86897589387071,0.228650102355885,1.2287107051108,6.50468848591746,1
"630","x.3.",3503.76330096006,508118.202008714,0.0740929200098302,2431.18756941968,0.0740749462491613,508118.202008714,0.0740929200098302,2431.18756941968,0.0740749462491613,TRUE,0.74641148325,0.781970822473281,0.715432225370142,0.451331811786546,0.0810308427024354,0.126784890662085,0.203793514853589,0.126784890662085,0.00515954977637349,0,1742.92557871879,0.002329858601,717363.847276706,1e-04,"4_237_3",4,237,3,1655,3,166929.009872181,798.703396517614,62328.324078892,62326.0941667296,3168.03063292716,0.363321790022168,0.365489178361991,3.96646695974993,3.04391790496921,0.328523971808667,2,FALSE,3.1425634994415,0.107242500728869,1.90638260993414,4.38094546896578,0.99997934284237
"631","(Intercept)",11526.9760072261,2409137.98551026,0.350058889737537,11526.9760072261,0.349708412892411,2409137.98551026,0.350058889737537,11526.9760072261,0.349708412892411,TRUE,0.74641148325,0.780834207855935,0.716328985598223,0.567606449038325,0.0812417803387251,0.126584964016346,0.180915206993507,0.126584964016346,0.0041573307486769,0,1824.95964713134,0.002444224934,717363.847276706,1e-04,"4_273_2",4,273,2,1906,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"632","trend",0.247373652275312,1719805.51763342,0.249895694513211,8228.73453413118,0.249645500453894,1719805.51763342,0.249895694513211,8228.73453413118,0.249645500453894,TRUE,0.74641148325,0.780834207855935,0.716328985598223,0.567606449038325,0.0812417803387251,0.126584964016346,0.180915206993507,0.126584964016346,0.0041573307486769,0,1824.95964713134,0.002444224934,717363.847276706,1e-04,"4_273_2",4,273,2,1906,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"633","season",0.775465948558171,-1292.24421720147,-0.00018776906041249,-6.18298668517452,-0.000187581067163826,-1292.24421720147,-0.00018776906041249,-6.18298668517452,-0.000187581067163826,FALSE,0.74641148325,0.780834207855935,0.716328985598223,0.567606449038325,0.0812417803387251,0.126584964016346,0.180915206993507,0.126584964016346,0.0041573307486769,0,1824.95964713134,0.002444224934,717363.847276706,1e-04,"4_273_2",4,273,2,1906,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"634","ct.1.",12.2534106499707,1319821.28399239,0.191776135740308,6314.93437316932,0.191584130632038,1319821.28399239,0.191776135740308,6314.93437316932,0.191584130632038,TRUE,0.74641148325,0.780834207855935,0.716328985598223,0.567606449038325,0.0812417803387251,0.126584964016346,0.180915206993507,0.126584964016346,0.0041573307486769,0,1824.95964713134,0.002444224934,717363.847276706,1e-04,"4_273_2",4,273,2,1906,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"635","x.1.",5272.21676749694,564031.810952974,0.081956430352424,2711.69139881237,0.082268002877615,564031.810952974,0.081956430352424,2711.69139881237,0.082268002877615,TRUE,0.74641148325,0.780834207855935,0.716328985598223,0.567606449038325,0.0812417803387251,0.126584964016346,0.180915206993507,0.126584964016346,0.0041573307486769,0,1824.95964713134,0.002444224934,717363.847276706,1e-04,"4_273_2",4,273,2,1906,1,179077.69020739,856.831053623878,69902.581356523,69902.581356523,3116.58487945905,0.389763450996346,0.39315739486054,3.63733885026433,3.14964868208746,0.317495727598813,2,FALSE,2.18370520521147,0.158940598541966,0.356569302858067,4.02403788360825,1
