"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","x.1._thetas","x.2._thetas","x.3._thetas","x.1._alphas","x.2._alphas","x.3._alphas","x.1._gammas","x.2._gammas","x.3._gammas","cluster","n","top_sol"
"11","1_269_1",0,0.525120282111195,0.121378336792631,0.165119398824011,0.0798877278260766,0.121378336792631,0.0302350243056413,0.358405770914951,0.844460097170085,0.914880796529472,0.467663724667105,0.966975773795049,0.0463552536249483,0.959301788830744,0.889373922284701,1,19,FALSE
"12","1_273_1",0,0.472599923368639,0.121634131664922,0.165104960016705,0.0794013941198322,0.121634131664922,0.0778625987562656,0.574485041693433,0.977589842376681,0.976621611379286,0.798603538453442,0.991178679301619,0.097642241151501,0.924617242723321,1,1,19,FALSE
"13","1_273_4",0,0.658278201573812,0.121542760164696,0.167878030198419,0.0803081233393591,0.121542760164696,0.169966322648444,0.744822397625417,0.85248315076679,0.930060528391613,0.10161028720157,0.951484760292068,0.123840028995385,0.923445851027662,0.861153601326047,1,19,FALSE
"14","1_281_3",0,0.495887183079766,0.121479986154211,0.167387942780446,0.0799299768253621,0.121479986154211,0.0591856123356205,0.615362215358186,0.895095848904533,0.982371532588396,0.468177151429403,0.939727083771516,0.0723345897011387,0.903043821270383,0.949983612716542,1,19,FALSE
"15","1_285_7",0,0.475676300236234,0.121520237004806,0.165106692012872,0.0794011141012051,0.121520237004806,0.0778625987562656,0.574485041693433,0.977589842376681,0.976621611379286,0.966290560482925,0.991178679301619,0.097642241151501,0.924617242723321,1,1,19,FALSE
"16","2_51_6",0,0.033000121498184,0.299406913708047,0.593557947245986,0.135367537652587,0.299406913708047,0.40927600449027,0.606073359300678,0.629174791568131,0,0,0.448462282316763,0.432587170680992,0.608614778022025,0.481061299287069,3,15,FALSE
"17","2_74_1",0,0.014673925417254,0.16378448607087,0.334538557182809,0.0881316714530756,0.16378448607087,0.459898997885922,0.865765144898752,0.828790823601411,0.51799001359484,0.498293963647356,0.561558422726042,1,0.745530203903342,0.475455332200588,3,15,FALSE
"18","2_103_1",0,0.0324835026611867,0.15277665267184,0.293094864313082,0.0903019420939192,0.15277665267184,0.990090080547427,0.856184201942306,0.74510816787998,0.545115600397842,0.123199585787503,0.627493912203593,0.877252671852332,0.672480495080948,0.385368003974439,3,15,FALSE
"19","3_42_2",0,0.0263092092973478,0.374112677495455,0.725473025103658,0.161058050303197,0.374112677495455,0.137744505284874,0.717771060881422,0.0344156412400197,0.254116822083459,0.605274913750443,0.113828325503642,0.654211190603655,0.489966736930765,0.442294145760771,3,15,FALSE
"20","3_59_7",0,0.004558988494813,0.187762317716184,0.374714913689509,0.10145820815119,0.187762317716184,0.461923768333945,0.725612550739628,0.583458251909089,0.432453541283099,0.0368780174607642,0.392319754254371,0.233725063338352,0.206839255177766,0.61514106262509,3,15,FALSE
