"","x.1._alphas","x.1._gammas","x.1._thetas","x.2._alphas","x.2._gammas","x.2._thetas","x.3._alphas","x.3._gammas","x.3._thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",2.772815291055,0.099551993397,0.0772789672725,7.942909163476,0.798237468352,0.894924133399,7.805596072488,0.0748119806335,0.228259141812,0.74641148325,0.7621618424646,0.712524158869334,0.234738609678761,0.0846318458656948,0.127431066640158,0.240680203858688,0.127431066640158,0.00182549422025333,0,2246.4822393269,0.003031883136,717363.847276706,1e-04,0,0.0672249794006348,171.747722864151,"2_304_2",2,304,2,2123,FALSE,TRUE,1,0.0612073641522856,8,FALSE
"12",4.150650996969,0.156013788218,0.01191106137864,2.139405240158,0.722115722784,0.835515959669,8.767899322005,0.0639572857731,0.269664226531,0.74641148325,0.782254921178668,0.737219482443948,0.646240364252013,0.0809780326569005,0.1218347631797,0.163640051865259,0.1218347631797,0.247960310397195,0,1476.29731159231,0.001958143559,717363.847276706,1e-04,0,0.0721969604492188,182.658540964127,"2_319_4",2,319,4,2230,FALSE,TRUE,2,0.0582628382184718,7,FALSE
"13",3.985639700698,0.174506793482,0.042583007067,0.3443606484483,0.862710007302,0.837813243511,8.827124085414,0.0637092197844,0.264537882957,0.74641148325,0.782386805064977,0.737078570459002,0.651644974839397,0.0809535055462981,0.121867424804649,0.162385224228487,0.121867424804649,0.404191250145588,0,1502.86175509286,0.001995177904,717363.847276706,1e-04,0,0.0707669258117676,200.765204906464,"2_347_6",2,347,6,2428,TRUE,TRUE,4,0.0902186916637428,3,FALSE
"14",4.01365258385,0.202859188753,0.139193693081,3.717516707619,0.820100735406,0.89830180435,8.88310782167,0.0824730785615,0.312560863674,0.74641148325,0.782060303658193,0.732269387339802,0.549562368308664,0.0810142130935074,0.122976932954753,0.184651484131958,0.122976932954753,0.0334058333941193,0,1353.59481186345,0.001787080058,717363.847276706,1e-04,0,0.0713160037994385,205.42657494545,"2_355_4",2,355,4,2482,FALSE,TRUE,4,0.0342915819198511,3,FALSE
"15",4.12454651731,0.106285972718,0.124010047975,6.794713352302,0.696780626517,0.892593834829,7.276071625246,0.099368333086,0.285754530657,0.74641148325,0.773216925090291,0.718714432480251,0.436373778658003,0.082641533429587,0.126051601089103,0.206552789327974,0.126051601089103,0.00482372474568001,0,1623.5960726949,0.002163497499,717363.847276706,1e-04,0,0.076505184173584,211.828729867935,"2_363_7",2,363,7,2541,FALSE,TRUE,3,0.0443960283972449,8,FALSE
"16",4.01365258385,0.202859188753,0.139193693081,3.717516707619,0.820100735406,0.89830180435,8.45093583091,0.10297602516,0.312080318765,0.74641148325,0.782139466588315,0.724415391748939,0.523954296453169,0.0809994982318131,0.124767686031506,0.189827791192626,0.124767686031506,0.0116571616172078,0,1360.05764175698,0.001796090097,717363.847276706,1e-04,0,0.0690929889678955,214.458564996719,"2_368_3",2,368,3,2572,FALSE,TRUE,4,0.0362130346684667,3,FALSE
"17",3.764788647516,0.107991912703,0.01585678693631,5.543555535012,0.698589034872,0.887453468771,7.420990857665,0.095058909476,0.277275244871,0.74641148325,0.775070705311612,0.723026455191937,0.463567690625435,0.0823030743132518,0.12508170320481,0.201508297247695,0.12508170320481,0.00613561185963541,0,1640.86318386878,0.002187570134,717363.847276706,1e-04,0,0.0689969062805176,214.69149184227,"2_368_6",2,368,6,2575,FALSE,TRUE,3,0.0419160525962736,8,TRUE
"18",4.143797704209,0.172539552167,0.01450235519963,3.902104680931,0.637783873888,0.897706595312,8.568090964043,0.0707600940184,0.271801527711,0.74641148325,0.783245384771824,0.735564671738584,0.595977041500708,0.0807936491330881,0.122217776848407,0.174879334410215,0.122217776848407,0.0584798916674862,0,1418.67867664692,0.001877815567,717363.847276706,1e-04,0,0.073793888092041,215.484272956848,"2_370_1",2,370,1,2584,FALSE,TRUE,1,0.0313010344401573,2,FALSE
"19",5.539651893616,0.220115607458,0.104373366812,3.397806554865,0.84412916776,0.890774934264,8.891390279902,0.0745909276489,0.243880387547,0.74641148325,0.779274407515296,0.732798704500301,0.529650355043094,0.0815303661766379,0.12285530695614,0.188688694509032,0.12285530695614,0.016974538780627,0,1513.40487175022,0.002009876402,717363.847276706,1e-04,0,0.0781960487365723,215.821576833725,"2_370_5",2,370,5,2588,FALSE,TRUE,1,0.0357403970760021,3,FALSE
"20",4.143797704209,0.172539552167,0.01450235519963,3.975070531682,0.637783873888,0.897706595312,8.568090964043,0.0707600940184,0.271801527711,0.74641148325,0.783236481897326,0.735553481067085,0.594891303023197,0.0807953083557346,0.122220362895686,0.175114155015014,0.122220362895686,0.057785444918931,0,1418.67867664692,0.001877815567,717363.847276706,1e-04,0,0.0762259960174561,218.008563995361,"2_374_3",2,374,3,2614,FALSE,TRUE,1,0.0313487610918744,2,FALSE
